,JSON Data
909,"{""ip"":""145.14.144.206"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
910,"{""ip"":""94.152.206.11"",""country_code"":""PL"",""country_name"":""Poland"",""region_name"":""Wielkopolskie"",""city_name"":""Poznan"",""latitude"":52.406914,""longitude"":16.93,""zip_code"":""61-897"",""time_zone"":""+01:00"",""asn"":""29522"",""as"":""Cyber_Folks S.A."",""is_proxy"":false}"
911,"{""ip"":""145.14.145.95"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":true}"
912,"{""ip"":""199.102.46.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Iowa"",""city_name"":""Monticello"",""latitude"":42.238514,""longitude"":-91.189704,""zip_code"":""52310"",""time_zone"":""-05:00"",""asn"":""14935"",""as"":""Monticello Networks Inc."",""is_proxy"":false}"
913,"{""ip"":""160.153.0.98"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Arizona"",""city_name"":""Tempe"",""latitude"":33.336078,""longitude"":-111.92216,""zip_code"":""85284"",""time_zone"":""-07:00"",""asn"":""209242"",""as"":""CloudFlare London LLC"",""is_proxy"":false}"
914,"{""ip"":""108.179.192.17"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.332134,""longitude"":-81.655671,""zip_code"":""32099"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
915,"{""ip"":""192.185.5.81"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.332134,""longitude"":-81.655671,""zip_code"":""32099"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
916,"{""ip"":""185.229.21.106"",""country_code"":""GB"",""country_name"":""United Kingdom of Great Britain and Northern Ireland"",""region_name"":""England"",""city_name"":""Leicester"",""latitude"":52.6386,""longitude"":-1.13169,""zip_code"":""LE1"",""time_zone"":""+00:00"",""asn"":""25577"",""as"":""Cloudcoco Connect Limited"",""is_proxy"":false}"
917,"{""ip"":""34.120.137.41"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Missouri"",""city_name"":""Kansas City"",""latitude"":39.09973,""longitude"":-94.57857,""zip_code"":""64101"",""time_zone"":""-05:00"",""asn"":""396982"",""as"":""Google LLC"",""is_proxy"":false}"
918,"{""ip"":""64.190.63.111"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Koeln"",""latitude"":50.933346,""longitude"":6.94972,""zip_code"":""51147"",""time_zone"":""+01:00"",""asn"":""47846"",""as"":""Sedo GmbH"",""is_proxy"":false}"
919,"{""ip"":""198.185.159.144"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""New York"",""city_name"":""New York City"",""latitude"":40.7347,""longitude"":-74.0059,""zip_code"":""10014"",""time_zone"":""-04:00"",""asn"":""53831"",""as"":""Squarespace Inc."",""is_proxy"":false}"
920,"{""ip"":""145.14.144.206"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
921,"{""ip"":""203.78.107.138"",""country_code"":""TH"",""country_name"":""Thailand"",""region_name"":""Krung Thep Maha Nakhon"",""city_name"":""Bangkok"",""latitude"":13.749976,""longitude"":100.516819,""zip_code"":""10500"",""time_zone"":""+07:00"",""asn"":""18362"",""as"":""Netway Communication Co. Ltd."",""is_proxy"":false}"
922,"{""ip"":""202.92.4.44"",""country_code"":""VN"",""country_name"":""Viet Nam"",""region_name"":""Ha Noi"",""city_name"":""Hanoi"",""latitude"":21.024411,""longitude"":105.84146,""zip_code"":""100000"",""time_zone"":""+07:00"",""asn"":""135905"",""as"":""Vietnam Posts and Telecommunications Group"",""is_proxy"":false}"
923,"{""ip"":""46.166.142.23"",""country_code"":""NL"",""country_name"":""Netherlands"",""region_name"":""Noord-Brabant"",""city_name"":""Roosendaal"",""latitude"":51.53082,""longitude"":4.465397,""zip_code"":""4708"",""time_zone"":""+01:00"",""asn"":""43350"",""as"":""NForce Entertainment B.V."",""is_proxy"":false}"
924,"{""ip"":""145.14.144.38"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
925,"{""ip"":""38.165.67.39"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Los Angeles"",""latitude"":34.052571,""longitude"":-118.243907,""zip_code"":""90001"",""time_zone"":""-07:00"",""asn"":""54600"",""as"":""Peg Tech Inc"",""is_proxy"":false}"
926,"{""ip"":""104.21.62.195"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
927,"{""ip"":""157.7.184.32"",""country_code"":""JP"",""country_name"":""Japan"",""region_name"":""Hyogo"",""city_name"":""Amagasaki"",""latitude"":34.732788,""longitude"":135.39994,""zip_code"":""660-0808"",""time_zone"":""+09:00"",""asn"":""7506"",""as"":""INTERQ GMO Internet Inc"",""is_proxy"":false}"
928,"{""ip"":""172.67.141.37"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
929,"{""ip"":""145.14.145.95"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":true}"
930,"{""ip"":""107.154.147.3"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Texas"",""city_name"":""Dallas"",""latitude"":32.78306,""longitude"":-96.8065,""zip_code"":""75201"",""time_zone"":""-05:00"",""asn"":""19551"",""as"":""Incapsula Inc"",""is_proxy"":false}"
931,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
932,"{""ip"":""170.249.203.194"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.748795,""longitude"":-84.387543,""zip_code"":""30301"",""time_zone"":""-04:00"",""asn"":""63410"",""as"":""PrivateSystems Networks"",""is_proxy"":false}"
933,"{""ip"":""145.14.144.206"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
934,"{""ip"":""195.114.1.126"",""country_code"":""PL"",""country_name"":""Poland"",""region_name"":""Pomorskie"",""city_name"":""Gdynia"",""latitude"":54.51889,""longitude"":18.53188,""zip_code"":""81-319"",""time_zone"":""+01:00"",""asn"":""41079"",""as"":""Cyber_Folks S.A."",""is_proxy"":false}"
935,"{""ip"":""145.14.144.38"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
936,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
937,"{""ip"":""35.194.144.120"",""country_code"":""TW"",""country_name"":""Taiwan (Province of China)"",""region_name"":""Taipei"",""city_name"":""Taipei"",""latitude"":25.038171,""longitude"":121.563599,""zip_code"":""100"",""time_zone"":""+08:00"",""asn"":""396982"",""as"":""Google LLC"",""is_proxy"":false}"
938,"{""ip"":""145.14.144.130"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
939,"{""ip"":""50.87.146.236"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
940,"{""ip"":""151.106.103.143"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""North Carolina"",""city_name"":""Asheville"",""latitude"":35.58912,""longitude"":-82.54687,""zip_code"":""28801"",""time_zone"":""-04:00"",""asn"":""47583"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
941,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
942,"{""ip"":""37.48.65.148"",""country_code"":""NL"",""country_name"":""Netherlands"",""region_name"":""Noord-Holland"",""city_name"":""Amsterdam"",""latitude"":52.378502,""longitude"":4.89998,""zip_code"":""1000"",""time_zone"":""+01:00"",""asn"":""60781"",""as"":""LeaseWeb Netherlands B.V."",""is_proxy"":false}"
943,"{""ip"":""208.113.199.84"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Brea"",""latitude"":33.93022,""longitude"":-117.88842,""zip_code"":""92821"",""time_zone"":""-07:00"",""asn"":""26347"",""as"":""New Dream Network LLC"",""is_proxy"":false}"
944,"{""ip"":""78.135.105.238"",""country_code"":""TR"",""country_name"":""Turkey"",""region_name"":""Istanbul"",""city_name"":""Istanbul"",""latitude"":41.01384,""longitude"":28.94966,""zip_code"":""34080"",""time_zone"":""+03:00"",""asn"":""210388"",""as"":""Hayal Host Internet Ve Bilisim Teknolojileri Sanayi Ticaret Limited Sirketi"",""is_proxy"":false}"
945,"{""ip"":""145.14.145.95"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":true}"
946,"{""ip"":""145.14.145.95"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":true}"
947,"{""ip"":""205.251.153.201"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Texas"",""city_name"":""Spring"",""latitude"":30.05201,""longitude"":-95.465271,""zip_code"":""77388"",""time_zone"":""-05:00"",""asn"":""11042"",""as"":""Network Transit Holdings LLC"",""is_proxy"":false}"
948,"{""ip"":""185.212.71.77"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Arizona"",""city_name"":""Phoenix"",""latitude"":33.448232,""longitude"":-112.074054,""zip_code"":""85001"",""time_zone"":""-07:00"",""asn"":""47583"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
949,"{""ip"":""162.217.175.205"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""North Carolina"",""city_name"":""Cornelius"",""latitude"":35.480093,""longitude"":-80.862482,""zip_code"":""28031"",""time_zone"":""-04:00"",""asn"":""46261"",""as"":""QuickPacket LLC"",""is_proxy"":false}"
950,"{""ip"":""83.36.63.72"",""country_code"":""ES"",""country_name"":""Spain"",""region_name"":""Andalucia"",""city_name"":""Sevilla"",""latitude"":37.382282,""longitude"":-5.975701,""zip_code"":""41005"",""time_zone"":""+01:00"",""asn"":""3352"",""as"":""Telefonica de Espana S.A.U."",""is_proxy"":false}"
951,"{""ip"":""104.21.43.209"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
952,"{""ip"":""76.223.54.146"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.604309,""longitude"":-122.329845,""zip_code"":""98101"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
953,"{""ip"":""185.208.164.129"",""country_code"":""PL"",""country_name"":""Poland"",""region_name"":""Wielkopolskie"",""city_name"":""Poznan"",""latitude"":52.406914,""longitude"":16.93,""zip_code"":""60-829"",""time_zone"":""+01:00"",""asn"":""41079"",""as"":""Cyber_Folks S.A."",""is_proxy"":false}"
954,"{""ip"":""128.14.74.97"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Los Angeles"",""latitude"":34.052571,""longitude"":-118.243907,""zip_code"":""90001"",""time_zone"":""-07:00"",""asn"":""21859"",""as"":""Zenlayer Inc"",""is_proxy"":false}"
955,"{""ip"":""23.227.38.32"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Ontario"",""city_name"":""Ottawa"",""latitude"":45.418875,""longitude"":-75.696511,""zip_code"":""K2P 2L8"",""time_zone"":""-04:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":true}"
956,"{""ip"":""54.84.236.175"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Virginia"",""city_name"":""Ashburn"",""latitude"":39.039474,""longitude"":-77.491809,""zip_code"":""20146"",""time_zone"":""-04:00"",""asn"":""14618"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
957,"{""ip"":""145.14.144.206"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
958,"{""ip"":""76.223.54.146"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.604309,""longitude"":-122.329845,""zip_code"":""98101"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
959,"{""ip"":""34.98.99.30"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Missouri"",""city_name"":""Kansas City"",""latitude"":39.09973,""longitude"":-94.57857,""zip_code"":""64101"",""time_zone"":""-05:00"",""asn"":""396982"",""as"":""Google LLC"",""is_proxy"":false}"
960,"{""ip"":""67.23.226.139"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Orlando"",""latitude"":28.578845,""longitude"":-81.184602,""zip_code"":""32826"",""time_zone"":""-04:00"",""asn"":""33182"",""as"":""HostDime.com Inc."",""is_proxy"":false}"
961,"{""ip"":""117.54.5.10"",""country_code"":""ID"",""country_name"":""Indonesia"",""region_name"":""Jakarta Raya"",""city_name"":""Jakarta"",""latitude"":-6.208678,""longitude"":106.845493,""zip_code"":""12850"",""time_zone"":""+07:00"",""asn"":""9340"",""as"":""Indo Internet PT"",""is_proxy"":false}"
